100
100
T [fm^-1]		muB [fm^-1]		betabulk_dfce [fm^-4]
0.793333		0.164848		-1.238948
0.795758		0.164848		-1.280079
0.798182		0.164848		-1.322407
0.800606		0.164848		-1.365962
0.803030		0.164848		-1.410774
0.805455		0.164848		-1.456874
0.807879		0.164848		-1.504294
0.810303		0.164848		-1.553066
0.812727		0.164848		-1.603222
0.815152		0.164848		-1.654797
0.817576		0.164848		-1.707824
0.820000		0.164848		-1.762338
0.580000		0.192323		-0.036753
0.582424		0.192323		-0.038642
0.584848		0.192323		-0.040613
0.587273		0.192323		-0.042671
0.589697		0.192323		-0.044818
0.592121		0.192323		-0.047058
0.594545		0.192323		-0.049395
0.596970		0.192323		-0.051831
0.599394		0.192323		-0.054371
0.601818		0.192323		-0.057018
0.604242		0.192323		-0.059776
0.606667		0.192323		-0.062650
0.609091		0.192323		-0.065643
0.611515		0.192323		-0.068760
0.613939		0.192323		-0.072005
0.616364		0.192323		-0.075383
0.618788		0.192323		-0.078898
0.621212		0.192323		-0.082556
0.623636		0.192323		-0.086361
0.626061		0.192323		-0.090318
0.628485		0.192323		-0.094434
0.630909		0.192323		-0.098712
0.633333		0.192323		-0.103160
0.635758		0.192323		-0.107782
0.638182		0.192323		-0.112585
0.640606		0.192323		-0.117574
0.643030		0.192323		-0.122757
0.645455		0.192323		-0.128139
0.647879		0.192323		-0.133727
0.650303		0.192323		-0.139528
0.652727		0.192323		-0.145550
0.655152		0.192323		-0.151799
0.657576		0.192323		-0.158282
0.660000		0.192323		-0.165008
0.662424		0.192323		-0.171985
0.664848		0.192323		-0.179220
0.667273		0.192323		-0.186721
0.669697		0.192323		-0.194498
0.672121		0.192323		-0.202559
0.674545		0.192323		-0.210913
0.676970		0.192323		-0.219570
0.679394		0.192323		-0.228538
0.681818		0.192323		-0.237827
0.684242		0.192323		-0.247448
0.686667		0.192323		-0.257411
0.689091		0.192323		-0.267727
0.691515		0.192323		-0.278405
0.693939		0.192323		-0.289457
0.696364		0.192323		-0.300895
0.698788		0.192323		-0.312731
0.701212		0.192323		-0.324975
0.703636		0.192323		-0.337641
0.706061		0.192323		-0.350740
0.708485		0.192323		-0.364286
0.710909		0.192323		-0.378293
0.713333		0.192323		-0.392773
0.715758		0.192323		-0.407740
0.718182		0.192323		-0.423208
0.720606		0.192323		-0.439193
0.723030		0.192323		-0.455708
0.725455		0.192323		-0.472769
0.727879		0.192323		-0.490392
0.730303		0.192323		-0.508593
0.732727		0.192323		-0.527388
0.735152		0.192323		-0.546793
0.737576		0.192323		-0.566826
0.740000		0.192323		-0.587504
0.742424		0.192323		-0.608846
0.744848		0.192323		-0.630869
0.747273		0.192323		-0.653592
0.749697		0.192323		-0.677035
0.752121		0.192323		-0.701216
0.754545		0.192323		-0.726157
0.756970		0.192323		-0.751877
0.759394		0.192323		-0.778397
0.761818		0.192323		-0.805739
0.764242		0.192323		-0.833925
0.766667		0.192323		-0.862977
0.769091		0.192323		-0.892917
0.771515		0.192323		-0.923770
0.773939		0.192323		-0.955559
0.776364		0.192323		-0.988308
0.778788		0.192323		-1.022042
0.781212		0.192323		-1.056787
0.783636		0.192323		-1.092568
0.786061		0.192323		-1.129412
0.788485		0.192323		-1.167345
0.790909		0.192323		-1.206397
0.793333		0.192323		-1.246593
0.795758		0.192323		-1.287964
0.798182		0.192323		-1.330538
0.800606		0.192323		-1.374346
0.803030		0.192323		-1.419418
0.805455		0.192323		-1.465784
0.807879		0.192323		-1.513477
0.810303		0.192323		-1.562529
0.812727		0.192323		-1.612973
0.815152		0.192323		-1.664842
0.817576		0.192323		-1.718172
0.820000		0.192323		-1.772995
0.580000		0.219798		-0.037045
0.582424		0.219798		-0.038948
0.584848		0.219798		-0.040935
0.587273		0.219798		-0.043008
0.589697		0.219798		-0.045172
0.592121		0.219798		-0.047429
0.594545		0.219798		-0.049783
0.596970		0.219798		-0.052238
0.599394		0.219798		-0.054797
0.601818		0.219798		-0.057464
0.604242		0.219798		-0.060243
0.606667		0.219798		-0.063139
0.609091		0.219798		-0.066154
0.611515		0.219798		-0.069295
0.613939		0.219798		-0.072564
0.616364		0.219798		-0.075968
0.618788		0.219798		-0.079510
0.621212		0.219798		-0.083195
0.623636		0.219798		-0.087029
0.626061		0.219798		-0.091016
0.628485		0.219798		-0.095163
0.630909		0.219798		-0.099473
0.633333		0.219798		-0.103954
0.635758		0.219798		-0.108611
0.638182		0.219798		-0.113450
0.640606		0.219798		-0.118477
0.643030		0.219798		-0.123698
0.645455		0.219798		-0.129121
0.647879		0.219798		-0.134751
0.650303		0.219798		-0.140596
0.652727		0.219798		-0.146662
0.655152		0.219798		-0.152957
0.657576		0.219798		-0.159489
0.660000		0.219798		-0.166266
0.662424		0.219798		-0.173294
0.664848		0.219798		-0.180583
0.667273		0.219798		-0.188140
0.669697		0.219798		-0.195975
0.672121		0.219798		-0.204095
0.674545		0.219798		-0.212511
0.676970		0.219798		-0.221231
0.679394		0.219798		-0.230266
0.681818		0.219798		-0.239624
0.684242		0.219798		-0.249316
0.686667		0.219798		-0.259352
0.689091		0.219798		-0.269743
0.691515		0.219798		-0.280499
0.693939		0.219798		-0.291633
0.696364		0.219798		-0.303154
0.698788		0.219798		-0.315076
0.701212		0.219798		-0.327409
0.703636		0.219798		-0.340167
0.706061		0.219798		-0.353362
0.708485		0.219798		-0.367006
0.710909		0.219798		-0.381114
0.713333		0.219798		-0.395698
0.715758		0.219798		-0.410773
